key,short_key,longitude,latitude,altitude,description,title,mp3name,mp3seconds,city,country,continent,human_sounds,animal,music,natural_sounds,channel_environment_and_background,sounds_of_things,source_ambiguous_sounds
aporee_43130_49161,49161,-2.7061414930179,53.754815369316,22.0,Preston Railways station platform,"Unnamed Road, Preston PR1, UK - Preston railway station",PrestonStation.mp3,99.5552,Preston,United Kingdom,Europe,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
aporee_44253_50327,50327,-100.987701416,23.6495561221,1819.0,"A train is passing by in the small town of Wuadley in the Wirikuta Desert (Mexico, State of San Luis Potosi SLP). Train horn and railway vibration at the beginning (recorded by the contact microphone).<br /><br />Sound recorded by a MS setup Schoeps mixed with a contact microphone<br />Microphone CCM41+CCM8<br />Contact Microphone Aquarian H2aXLR<br />Sound Devices 744T recorder<br />MS is encoded in STEREO Left-Right and mixed with the Contact Microphone<br />recorded in july 2012<br />sound is in 96kHz","Estación Wadley, Mexico - Train passing by in the Wirikuta Desert (Mexico, SLP)",2012MEXIQUESanLuisPotosiTrainpassagedansleDesertWirikuta96kHz.mp3,154.2752,Matehuala,Mexico,North America,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
aporee_48309_54951,54951,-5.9334732251584,54.583318256772,17.0,"The gentle and soothing paradise of Belfast seemed unchanged, while there would more people on a Friday afternoon. Nature always stood above any of the sounds us humans would generate in this magnificent playground.",Botanic Gardens,BotanicGardens.mp3,120.0,Belfast,United Kingdom,Europe,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
aporee_47763_54277,54277,15.240549864279,52.732887948859,29.0,Feeding the pigeons with the city traffic sounds in the background.,"Zabytkowa 8, 66-400 Gorzów Wielkopolski, Polska - Pigeons",gobie.mp3,124.99733333333332,Gorzow Wielkopolski,Poland,Europe,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
aporee_18318_21280,21280,13.307061195374,52.456836420978,60.0,"glasshouse, walk inside, spoken words","botanischer garten, Berlin, Germany - camellia",kamelija16maj20131350.mp3,94.47136054421767,Dahlem,Germany,Europe,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
aporee_1488_2558,2558,6.93555414676666,50.9427980874368,53.0,"stadtgarten biergarten, nachmittags - public viewing zur em 2008<br /><br />projekt klang raum garten - soundmap stadtgarten","cologne, stadtgarten, biergarten - koeln, stadtgarten, biergarten, public viewing",StadtgartenBiergartenpublicviewingEM08.mp3,128.94440625,Neustadt/Nord,Germany,Europe,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
aporee_9760_11690,11690,4.26926136017,50.71254769,116.0,Promenade dans le Bois de Hal - A Walk in the Hallerbos.<br />,Promenade dans le Bois de Hal - A Walk in the Hallerbos - Promenade dans le Bois de Hal - A Walk in thé Hallerbos,JMCharcotPromenadedansleBoisdeHal.mp3,111.69018140589569,Braine-le-Chateau,Belgium,Europe,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
aporee_44385_50474,50474,2.3527461982849,48.936724671056,33.0,"This recording is one of a series of recording, mapping the changing soundscape around St Denis (Recorded with the on-board microphones of a Tascam DR-40).","73 Rue de la République, 93200 Saint-Denis, France - Outside McDonalds, R. De la Republique",4OutsideMcDonaldsRDelaRepublique1015am250519.mp3,120.741175,Saint-Denis,France,Europe,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
aporee_28416_32753,32753,-1.0571229457855,45.625094489226,5.0,Vagues deferlentes contres les rochers .<br />Waves impact against rocks .<br /><br /><br />/zoom h4n intern xy mic<br />//yponomeutaneko,"Vaux-sur-Mer,Royan, France - waves impact [Royan]",capsRoyanWavesimpact.mp3,123.3257,Vaux-sur-Mer,France,Europe,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
aporee_24187_28086,28086,7.8113812208176,51.678769128397,67.0,Yvonne's speech: how can we empower ourselves as women....?!<br /><br />Yvonne Makopa is board member of Yes-Afrika e.V.<br />http://yes-afrika.jimdo.com/,"VHS, Hamm, Germany - Everyone has something to give...",18YvonnesEdaySpeech57.mp3,112.721575,Hamm,Germany,Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
